一	1
籽	405,162
紂	417,113
紅	417,102
紀	417,143
紉	417,81,6
紇	417,42,8
約	417,64,6
紆	417,96
缸	384,102
美	407,106
羿	415,108
耐	366,113
耍	366,155
耑	121,366
耶	357,166
胖	382,70,97
胥	16,207,382
胚	382,191,1
胃	301,382
胄	302,382
背	117,24,382
胡	20,119,382
胛	382,303
胎	382,88,119
胞	382,64,145
胤	4,169,382,9
胝	382,240,1
致	369,131
舢	397,121
苧	204,139,32
范	204,277,76
茅	204,353
苣	204,102,73
苛	204,32,119
苦	204,20,119
茄	204,83,119
若	204,23,119
茂	204,295
茉	204,282
苒	204,310
苗	204,301
英	204,308
茁	204,152,80
苜	204,298
苔	204,88,119
苑	204,135,76
苞	204,64,145
苓	204,45,1,89
苟	204,64,119
苯	204,287
茆	204,134,75
虐	372,112
虹	375,102
虻	375,67,15
虺	1,55,375
衍	127,277,19,10;127,277,1,32
衫	403,128
要	360,155
觔	63,40,99,83
計	442,20
訂	442,32
訃	442,37
貞	38,434
負	63,434
赴	99,207,37
赳	99,207,79
趴	119,208,48
軍	72,419
軌	419,90
述	188,6,253
迦	83,119,253
迢	81,119,253
迪	302,253
迥	39,119,253
迭	5,177,253
迫	331,253
迤	42,154,253
迨	88,119,253
郊	67,49,54,166
郎	6,413,166
郁	23,238,166
郃	45,1,119,166
酋	70,425
酊	425,32
重	480
閂	461,1
限	166,412
陋	166,290,15
陌	166,1,331
降	166,130,111
面	476
革	475
韋	151,119,111
韭	473
音	339,209
頁	1,5,434
風	60,1,375
飛	487
食	483
首	140,392
香	326,209
乘	325,117,26
亳	67,119,72,125
倌	46,139,321
倍	46,339,119
倣	46,67,61,221
俯	46,138,46,113
倦	46,70,176,76
倥	46,139,50,102
俸	46,279,97
倩	46,178,238
倖	46,99,140,20;46,99,70,95
倆	46,1,123,52,52
值	46,20,373
借	46,183,209
倚	46,106,32,119
倒	46,369,82
們	46,461
俺	46,105,315
倀	46,446
倔	46,142,152,80
倨	46,142,20,119
俱	46,373,49
倡	46,209,209
個	46,120,20,119
候	46,3,74,42,106
倘	46,161,39,119
俳	46,463
修	46,3,221,128
倭	46,326,155
倪	46,393,55
俾	46,468
倫	46,45,1,313
倉	45,1,262,119
兼	493
冤	72,63,309,6
冥	72,209,67,49
冢	72,457
凍	69,451
凌	69,99,50,131
准	69,467
凋	69,40,99,119
